Sample_ID,Normal_Rainfall_mm,Actual_Rainfall_mm,Predicted_Rainfall_mm,Absolute_Error_mm,Percentage_Error
1,586.74,591.48,600.0267,8.546672363281232,1.444963880990267
2,589.8755511022044,595.5378573402253,602.83,7.292159749618463,1.2244661963534116
3,600.8499799599199,609.682815923451,612.73676,3.0539394476427333,0.5009062692733285
4,603.9855310621242,613.6698642733253,615.56726,1.8973964688622118,0.3091884707600896
5,610.2566332665331,621.5136333145285,621.2283,0.28536183015353345,0.04591400974290789
6,614.9599599198397,627.2499738319827,625.47406,1.775913773388993,0.2831269585456683
7,621.2310621242485,634.6555318856497,631.1351,3.5204610848684297,0.5547042305624676
8,633.7732665330661,648.4594889881712,642.4571,6.002396703014938,0.9256394277429457
9,638.4765931863727,653.2488666319452,646.7028,6.546046807726498,1.0020754940574101
10,647.883246492986,662.1652653064782,655.1944,6.970868333821954,1.0527384474924912
11,658.8576753507014,671.4966506984797,665.0811,6.415534975823448,0.9554083358643881
12,672.9676553106212,682.0978309824412,677.7816,4.316214771503724,0.6327852949315174
13,685.5098597194389,690.7215282435388,689.071,1.6505443568200917,0.23895944882698555
14,693.3487374749499,696.0192633041717,696.12683,0.107567750515841,0.01545470882590101
15,694.9165130260521,697.0888692087154,697.53796,0.4490946584720632,0.06442430489269507
16,696.4842885771543,698.1649482844952,698.9491,0.7841483951923465,0.11231563502566645
17,699.6198396793587,700.341797360012,701.7714,1.4296259798317124,0.20413260856638696
18,701.1876152304609,701.4451642388389,703.1826,1.7374529486611436,0.24769619027119688
19,704.3231663326653,703.6881225361873,706.00494,2.3168213114689706,0.32923979207135584
20,705.8909418837675,704.8301748317514,707.4161,2.5859018284048716,0.3668829628388352
21,707.4587174348698,705.987533745028,708.8273,2.8397367627844687,0.40223610574546753
22,709.0264929859719,707.1613507927173,710.2384,3.0770525275952423,0.43512736154852244
23,710.5942685370742,708.352740234594,711.64954,3.2967958982185337,0.4654172576683607
24,715.2975951903808,712.0428635513899,715.8832,3.840315159547572,0.5393376376800674
25,718.4331462925852,714.6092898328704,718.7054,4.096093467910805,0.5731934255806806
26,721.5686973947895,717.2689092112836,721.5278,4.258861784810165,0.5937608238858776
27,727.8397995991984,722.8905751227479,727.1724,4.281849193658331,0.5923232839121283
28,732.543126252505,727.3885320936591,731.40594,4.017412730559613,0.552306305819285
29,745.0853306613226,740.6192466425699,742.6953,2.0760658574300805,0.2803148671657476
30,749.7886573146293,746.0390442741957,746.9288,0.8897276984605469,0.11926020565400067
31,781.1441683366734,787.0085879440311,785.0003,2.008282768249842,0.25517926983443073
32,792.1185971943887,802.2262599832604,799.1552,3.0710475809166837,0.38281563869285024
33,818.7707815631262,836.7897544788449,833.53156,3.258199303063634,0.3893689287690729
34,828.1774348697395,847.3313347896902,845.66437,1.6669671139089814,0.19673143733351098
35,829.7452104208417,848.9810774188841,847.68646,1.2946150165403196,0.15249044424833058
36,856.3973947895792,872.2539615686112,871.4674,0.7865543420487029,0.09017492344021104
37,857.9651703406814,873.3667911301914,872.45184,0.9149478684726091,0.10476100966566512
38,868.9395991983968,880.573996830668,879.3425,1.2314675337929657,0.13984827376520564
39,872.0751503006012,882.4864346484471,881.31134,1.1750943164158798,0.13315721015972304
40,876.7784769539078,885.2778273853206,884.26447,1.0133620532893701,0.1144682518800169
41,889.3206813627255,892.5837459741629,892.1396,0.44415857181911633,0.04976099708541782
42,890.8884569138277,893.5135199845823,893.12396,0.38955758223858084,0.04359839818039941
43,906.5662124248497,903.5917602701952,902.6321,0.9596801920702092,0.10620727570415672
44,914.4050901803607,909.4584998828566,907.926,1.5324744922315858,0.16850405955070816
45,917.540641282565,912.0091453007674,910.6707,1.3384299687361363,0.1467562003772168
46,959.8705811623247,959.68028129717,958.56976,1.1105181135762905,0.11571750875981714
47,997.4971943887775,1014.4366295464594,1013.3306,1.1060021050531077,0.10902623908085673
48,1006.9038476953908,1027.2594159539447,1026.2451,1.0142987664446537,0.09873832750442542
49,1021.0138276553106,1044.435545915216,1043.8225,0.6130361495909256,0.05869545057026333
50,1022.5816032064129,1046.1637656485555,1045.5707,0.5930869376179544,0.056691596200550684
51,1025.7171543086172,1049.5042011463943,1048.158,1.34624216201928,0.1282741089124515
52,1041.3949098196392,1063.8543594345258,1059.8765,3.9778945907758043,0.37391345492913036
53,1063.3437675350701,1078.1456037903986,1073.9899,4.155735626336082,0.3854521700710839
54,1075.8859719438879,1084.4751319127154,1081.6927,2.7823828892778693,0.2565649324176307
55,1082.1570741482965,1087.5240344921062,1085.9313,1.5927600780437388,0.1464574600217996
56,1083.7248496993989,1088.2966013738262,1086.991,1.3056345769512063,0.11997047269127006
57,1089.9959519038075,1091.4903907381074,1091.2295,0.26089855060740774,0.023902963582755704
58,1093.131503006012,1093.17765749434,1093.3488,0.17109738847238987,0.01565137992890929
59,1094.6992785571142,1094.0507245736303,1094.4084,0.3577226919946952,0.03269708469267782
60,1108.8092585170339,1103.1079054871277,1103.9714,0.8635300597472906,0.07828155844517852
61,1110.3770340681363,1104.2759334700872,1105.1493,0.8733585221002613,0.07908879435195251
62,1113.5125851703406,1106.7245665705648,1107.9581,1.2335633122477248,0.11146073282444595
63,1121.3514629258516,1113.5455912858595,1116.5088,2.963197776640527,0.2661047558204414
64,1130.758116232465,1123.1297273145988,1128.1305,5.000765849463733,0.44525273686954714
65,1138.596993987976,1132.2933664306993,1137.8152,5.52181911617572,0.48766682556677127
66,1144.8680961923847,1140.352262843171,1145.5631,5.210847508391453,0.4569506877988353
67,1152.7069739478957,1151.2314048619444,1155.2478,4.016397872430616,0.34887841449324103
68,1154.274749498998,1153.5010742785764,1157.1848,3.683740174548575,0.3193529903604522
69,1168.3847294589177,1174.9444920600426,1174.6173,0.3271824897301485,0.027846633772161948
70,1173.0880561122244,1182.3415407414755,1180.4282,1.9133180852254554,0.16182448296839563
71,1177.7913827655311,1189.7650878039924,1186.239,3.526074132117401,0.2963672550373493
72,1184.0624849699398,1199.5983953304974,1193.9868,5.611578924247397,0.4677881319357191
73,1188.7658116232465,1206.8460280555164,1199.7977,7.048298563328899,0.5840263297452447
74,1195.036913827655,1216.2288207921508,1207.5455,8.683288565588327,0.7139518828317809
75,1199.7402404809618,1222.9852324982603,1213.3563,9.628909256072802,0.7873283339982193
76,1204.4435671342685,1229.4470427945762,1219.1672,10.279806466451191,0.8361325139377155
77,1223.2568737474949,1251.6286601630322,1240.9597,10.668943366157237,0.8524048470388608
78,1226.3924248496992,1254.69014096893,1243.5706,11.119584328305109,0.8862414683292281
79,1227.9602004008016,1256.1504248799968,1244.876,11.274448317496763,0.8975396651697857
80,1229.5279759519037,1257.5639457917061,1246.1814,11.382549307331146,0.9051268800621666
81,1235.7990781563126,1262.7582953430167,1251.1576,11.600702569579198,0.9186795772684253
82,1237.3668537074147,1263.9449564123518,1252.3774,11.567515006101758,0.9151913576154143
83,1262.45126252505,1277.9862768790654,1271.8955,6.090769066565372,0.4765911165681269
84,1273.4256913827653,1282.3806466403616,1280.4347,1.9459542575491469,0.151745448018671
85,1276.5612424849699,1283.6085093315749,1282.8744,0.7341196831373509,0.057191867909915595
86,1292.238997995992,1290.488427495425,1295.0731,4.584692621762542,0.3552680151235836
87,1293.806773547094,1291.299773630836,1296.2931,4.9933171894765565,0.3866892329297406
88,1300.077875751503,1294.8750802681398,1301.1726,6.2975271537352455,0.48634244721360825
89,1309.484529058116,1301.4165019639315,1308.492,7.075441395443477,0.5436723281721204
90,1315.755631262525,1306.6885169370407,1313.3713,6.682820953584269,0.5114318268633153
91,1326.7300601202405,1317.830920025315,1321.9105,4.079602435622519,0.3095694882879324
92,1331.433386773547,1323.3614299859034,1325.5702,2.2087604437840582,0.16690530596827097
93,1334.5689378757515,1327.2923450064193,1328.0099,0.7175426888932179,0.05406063642217025
94,1343.9755911823645,1340.171768919533,1335.3292,4.842545286720451,0.3613376582782807
95,1347.111142284569,1344.7914682493113,1337.7689,7.022547350873765,0.5222034431863196
96,1354.95002004008,1356.9235092376039,1343.8684,13.055101034478866,0.9621103139272721
97,1356.5177955911822,1359.4333499841207,1345.0881,14.345215218495696,1.0552349049450096
98,1361.221122244489,1367.0889045959077,1348.7479,18.340979791220207,1.3416084154849859
99,1362.788897795591,1369.6746826263907,1349.9678,19.706909188890677,1.4388021797338117
100,1365.9244488977956,1374.8820684791351,1352.4075,22.474597776010114,1.6346564037213045
